host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:54:16:643 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 10:54:16:663 MST]
host: server1, empl_id: 026976, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 10:55:11:182 MST]
host: server1, empl_id: 029879, dest: EMAIL, doc_types: CSV|EXCEL, date_time: [2/9/12 10:56:52:206 MST]
host: server1, empl_id: 029879, dest: EMAIL, doc_types: CSV|EXCEL, date_time: [2/9/12 10:56:52:222 MST]
host: server1, empl_id: 001260, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 10:57:07:244 MST]
host: server1, empl_id: 029594, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 10:57:12:890 MST]
host: server1, empl_id: 029654, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 11:04:26:841 MST]
host: server1, empl_id: 029654, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 11:04:26:866 MST]
host: server1, empl_id: 029654, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 11:06:11:424 MST]
host: server1, empl_id: 029654, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 11:06:11:445 MST]
host: server1, empl_id: 029979, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 11:06:53:572 MST]
host: server1, empl_id: 029979, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 11:06:53:593 MST]
host: server1, empl_id: 008314, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 11:09:40:607 MST]
host: server1, empl_id: 008314, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 11:09:40:626 MST]
host: server1, empl_id: 008314, dest: REQUEST_SYSTEM, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 11:09:40:648 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 11:11:41:123 MST]
host: server1, empl_id: 029673, dest: REQUEST_SYSTEM, doc_types: EXCEL|PDF, date_time: [2/9/12 11:11:41:145 MST]
host: server1, empl_id: 008314, dest: EMAIL, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 11:11:46:565 MST]
host: server1, empl_id: 008314, dest: EMAIL, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 11:11:46:578 MST]
host: server1, empl_id: 008314, dest: EMAIL, doc_types: CSV|EXCEL|PDF, date_time: [2/9/12 11:11:46:601 MST]
host: server1, empl_id: 007839, dest: EMAIL, doc_types: EXCEL, date_time: [2/9/12 11:11:54:283 MST]
host: server1, empl_id: 030026, dest: BROWSER, doc_types: EXCEL, date_time: [2/9/12 11:13:01:707 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 11:13:13:659 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 11:13:13:678 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 11:13:13:703 MST]
host: server1, empl_id: 025915, dest: EMAIL, doc_types: CSV|EXCEL|PDF|XML, date_time: [2/9/12 11:13:13:748 MST]
host: server1, empl_id: 022207, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 11:16:06:634 MST]
host: server1, empl_id: 022207, dest: EMAIL, doc_types: EXCEL|PDF, date_time: [2/9/12 11:16:06:669 MST]
